Root,Meanings
Dal-Kaf-Ra   ," see Thal-Kaf-Raiddakara   vb. (5)  perf. act. 12:45  pcple. act. 54:15,   54:22, 54:32, 54:40, 54:51Lane's   Lexicon, Volume 3, pages:    66,   134,   135,   136,   137"
Dal-Kha-Lam ," to enter, got in, passed, to penetrate, breach, break   through, invade, come upon, visit, intrude, meddle, insert, introduce, to   participate/commence/include/take part, it became comprehended/comprised in   it, mix/intermingle.  Have intercourse with, go into (one's wife).  Income/revenue/profit.  confused/badness/unsound/corrupt, vice, deceit/guile/circumvention.  A select group of close associates.  A place of entrance, gate, ingoing, instrument allowing entrance, key.  Guest.dakhala   vb. (1)  perf. act. 3:37, 3:97, 4:23, 4:23, 5:23, 5:61, 7:38, 12:36, 12:58, 12:68, 12:69, 12:88,   12:99, 15:52, 17:7, 18:35, 18:39, 24:61, 27:34, 28:15, 38:22, 51:25, 71:28,  yadkhulu impf. act. 2:111, 2:114, 2:214, 3:142, 4:124, 5:22, 5:24, 7:40, 7:46,   12:67, 13:23, 13:23, 16:31, 17:7, 19:60, 24:27, 24:28, 24:29, 33:53, 35:33,   40:40, 40:60, 48:27, 49:14, 68:24, 110:2,udkhul impv. 2:58, 2:58, 2:208, 4:154, 5:21, 5:23, 7:38, 7:49, 7:161,   12:67, 12:99, 15:46, 16:29, 16:32, 27:18, 27:44, 33:53, 36:26, 39:72, 39:73,   40:76, 43:70, 50:34, 66:10, 89:29, 89:30,dukhila perf. pass. 33:14,  dakhil pcple. act. 5:22, 66:10,dakhal n.m. 16:92, 16:94,muddakhal n.m. 9:57,mudkhal n.m. 4:31, 17:80, 22:59,adkhala vb. (4)  perf. act. 5:65, 21:75, 21:86,yudkhilu impf. act. 3:192, 3:195, 4:13, 4:14, 4:31, 4:57, 4:57, 4:122, 4:175,   5:12, 5:84, 9:99, 22:14, 22:23, 22:59, 29:9, 42:8, 45:30, 47:6, 47:12, 48:5,   48:17, 48:25, 58:22, 61:12, 64:9, 65:11, 66:8, 76:31,adkhil - impv. 7:151, 17:80, 27:12, 27:19, 40:8, 40:46,udkhila - perf. pass. 3:185, 14:23, 71:25,yudkhalu - impf. pass. 70:38Lane's   Lexicon, Volume 3, pages:    24,   25,   26,   27"
Dal-Kha-Nun   ," To smoke, raise smoke or dust, become altered, be ill-natured, fumigate,   grope clumsily, handle (a thing) clumsily, spoil, fail to handle properly.dukhan   n.m. 41:11,   44:10Lane's   Lexicon, Volume 3, pages:    27,   28"
Dal-Kha-Ra ," To be   small, mean, lowly, of no value or account, abject, humbled.dakhara   vb. (1) pcple. act. 16:48,   27:87, 37:18, 40:60Lane's   Lexicon, Volume 3, pages:    24"
Dal-Lam-Kaf ," rubbing, squeezing, pressing, decline, sinking, become   red, set, incline downwards from the meridian (sun). The whole phrase ""duluk-as-shams""   defined as ""sunset"" by Lane.dalaka   vb. (1) n.vb. 17:78Lane's   Lexicon, Volume 3, pages:    72,   73"
Dal-Lam-Lam   ," To show, point out, indicate, direct, point at, guide, delude, discover,   lead.dalla vb.   (1)  perf. act. 34:14  impf. act. 20:40,   20:120, 28:12, 34:7, 61:10daliil   n.m. 25:45Lane's   Lexicon, Volume 3, pages:    66,   67,   68"
Dal-Lam-Waw   (Dal-Lam-Alif) ," To let down (e.g. a bucket  into a well), to lower, a bucket.dalw n.m. 12:19dalla vb.   (2) perf. act. 7:22adla vb.   (4)  perf. act. 12:19  impf. act. 2:188tadalla   vb. (5) perf. act. 53:8Lane's   Lexicon, Volume 3, pages:    74,   75"
Dal-Miim-Ayn   ," To shed tears.dama'a   vb. (1) n.vb. 5:83,   9:92Lane's   Lexicon, Volume 3, pages:    79,   80"
Dal-Miim-Dal-Miim   ," He smeared or did over, a thing much, or exceedingly, or with energy: and he   so covered over a thing.damdama   vb. (quad 1) perf. act. 91:14LL, V3,   p: 76"
Dal-Miim-Gh   ," To destroy, damage the brain, overcome, prevail upon (error), disgrace,   knock out.damagha   vb. (1) impf. act. 21:18Lane's   Lexicon, Volume 3, page:  80"
Dal-Miim-Miim   (Da-Mim-Alif) ," To bleed, be bloodstained.dam n.m.   (pl. dima) 2:30,   2:84, 2:173, 5:3, 6:145, 7:133, 12:18, 16:66, 16:115, 22:37Lane's   Lexicon, Volume 3, pages:    75,   76,   77"
Dal-Miim-Ra   ," To perish utterly, be annihilated, to destroy.dammara   vb. (2)  perf. act. 7:137,   17:16, 25:36, 26:172, 27:51, 37:136, 47:10  impf. act. 46:25  n.vb. 17:16,   25:36Lane's   Lexicon, Volume 3, pages:    78,   79"
Dal-Nun-Ra   ," to glisten (face), strike (money), Dinar, unit of currency.dinar n.m. 3:75Lane's   Lexicon, Volume 3, pages:    85"
Dal-Nun-Waw   (Dal-Nun-Alif) ," To be near, come near or low, let down, be akin to. dana vb.   (1)  perf. act. 53:8  pcple. act. 6:99,   55:54, 69:23, 76:14adna n.m. 2:61,   2:282, 4:3, 5:108, 7:169, 30:3, 32:21, 33:51, 33:59, 53:9, 58:7, 73:20dunya n.f. 2:85,   2:86, 2:114, 2:130, 2:200, 2:201, 2:204, 2:212, 2:217, 2:220, 3:14, 3:22,   3:45, 3:56, 3:117, 3:145, 3:148, 3:152, 3:185, 4:74, 4:77, 4:94, 4:109, 4:134,   4:134, 5:33, 5:41, 6:29, 6:32, 6:70, 6:130, 7:32, 7:51, 7:152, 7:156, 8:42,   8:67, 9:38, 9:38, 9:55, 9:69, 9:74, 9:85, 10:7, 10:23, 10:24, 10:64, 10:70,   10:88, 10:98, 11:15, 11:60, 12:101, 13:26, 13:34, 14:3, 14:27, 16:30, 16:41,   16:107, 16:122, 18:28, 18:45, 18:46, 18:104, 20:72, 20:131, 22:9, 22:11,   22:15, 22:33, 23:37, 24:14, 24:19, 24:23, 24:33, 28:42, 28:60, 28:61, 28:77,   28:79, 29:25, 29:27, 29:64, 30:7, 31:15, 31:33, 33:28, 33:57, 35:5, 37:6,   39:10, 39:26, 40:39, 40:43, 40:51, 41:12, 41:16, 41:31, 42:20, 42:36, 43:32,   43:35, 45:24, 45:35, 46:20, 47:36, 53:29, 57:20, 57:20, 59:3, 67:5, 79:38,   87:16adna vb.   (4) impf. act. 33:59Lane's   Lexicon, Volume 3, pages:    86,   87,   88"
Dal-Ra-Alif   (Dal-Ra-Hamza) ," To repel, revert, drive off; put off, avert, overcome,   combat, quarrel, urge, rush suddenly, repel in a quarrel, disagree.dara'a   vb. (1)  impf. act. 13:22,   24:8, 28:54  impv. 3:168iddara'a   vb. (6) perf. act. 2:72Lane's   Lexicon, Volume 3, pages:    30,   31,   32"
Dal-Ra-ha-Miim   ," A certain silver coin, unit of currency (smaller than Dinar?).darahim   (pl. of dirham) n.m. 12:20Lane's   Lexicon, Volume 3, pages:    42,   43"
Dal-Ra-Jiim   ," To walk step by step, proceed gradually, destroy by degrees, insert a thing,   unwrap, come gradually to, deceive, show forbearance to (a sinner).darajah   n.f. (pl. darajat) 2:228,   2:253, 3:163, 4:95, 4:96, 6:83, 6:132, 6:165, 8:4, 9:20, 12:76, 17:21, 20:75, 40:15,   43:32, 46:19, 57:10, 58:11istadraja   vb. (10) impf. act. 7:182,   68:44Lane's   Lexicon, Volume 3, pages:    33,   34,   35,   36"
Dal-Ra-Kaf   ," To overtake, follow up, drop closely.daraka   vb. (1) n.vb. 20:77dark n.m. 4:145adraka   vb. (4)  perf. act. 10:90  impf. act. 4:78,   4:100, 6:103, 6:103, 36:40  pcple. pass. 26:61tadaraka   vb. (6)  perf. act. 68:49iddaraka   vb. (6) perf. act. 7:38,   27:66Lane's   Lexicon, Volume 3, pages:    39,   40,   41"
Dal-Ra-Ra   ," To flow copiously, plentifully, give much, shine.durriy   n.m. 24:35midrar   n.m. 6:6,   11:52, 71:11Lane's   Lexicon, Volume 3, pages:    28,   29,   30"
Dal-Ra-Siin   ," To study, read, read with attention, disappear (trace), efface, obliterate,   teach.darasa   vb. (1)  perf. act. 6:105,   7:169  impf. act. 3:79,   34:44, 68:37dirasah   n.f. 6:156idris n. 19:56,   21:85Lane's   Lexicon, Volume 3, pages:    36,   37"
Dal-Ra-Ya   ," To know, know by skill.dara vb.   (1) impf. act. 4:11,   21:109, 21:111, 31:34, 31:34, 42:52, 45:32, 46:9, 65:1, 69:26, 72:10, 72:25adra vb.   (4)  perf. act. 10:16,   69:3, 74:27, 77:14, 82:17, 82:18, 83:8, 83:19, 86:2, 90:12, 97:2, 101:3,   101:10, 104:5  impf. act. 33:63,   42:17, 80:3Lane's   Lexicon, Volume 3, pages:    43,   44"
Dal-Siin-Ra   ," To repair with nails, spear, caulk and make a ship water-tight, nail a   thing, ram in.dusur n.m.   (pl. of disar) 54:13Lane's   Lexicon, Volume 3, page:    45"
Dal-Siin-Siin   ," To hide, bury, conceal, insinuate, thrust. dassa vb.   (1) impf. act. 16:59Lane's   Lexicon, Volume 3, page:    44"
Dal-Siin-Waw   , corruptdassa vb.   (2) perf. act. 91:10
Dal-Tha-Ra,"   To be endowed with excellent capabilities, cover with a cloak, wrap with a   garment, destroy or obliterate.daththara   vb. (2) pcple. act. 74:1Lane's   Lexicon, Volume 3, page:    17"
Dal-Waw-Dal   ," David, Name of the Prophet and King of Jews, founder and first ruler of the   united kingdom of  Israel and  Judah.dawud n. 2:251,   4:163, 5:78, 6:84, 17:55, 21:78, 21:79, 27:15, 27:16, 34:10, 34:13, 38:17,   38:22, 38:24, 38:26, 38:30Lane's   Lexicon, Volume 3, pages:    95,   96"
Dal-Waw-Lam   (Dal-Alif-Lam) ," To be in continual rotation, change, undergo vicissitudes.dulah n.f. 59:7dawala   vb. (3) impf. act. 3:140Lane's   Lexicon, Volume 3, pages:    100,   101"
Dal-Waw-Miim   (Dal-Alif-Miim) ," To continue, endure, persist, remain, persevere, last, stand   still, keep alive.dama vb.   (1)  perf. act. 3:75,   5:24, 5:96, 5:117, 11:107, 11:108, 19:31  pcple. act. 13:35,   70:23Lane's   Lexicon, Volume 3, pages:    101,   102,   103,   104"
Dal-Waw-Ra   (Da-Alif-Ra) ," To go round, revolve, circulate.dara vb.   (1) impf. act. 33:19dar n.f.   (pl. diyar) 2:84,   2:85, 2:94, 2:243, 2:246, 3:195, 4:66, 6:32, 6:127, 6:135, 7:78, 7:91, 7:145,   7:169, 8:47, 10:25, 11:65, 11:67, 11:94, 12:109, 13:22, 13:24, 13:25, 13:31,   13:42, 14:28, 16:30, 16:30, 17:5, 22:40, 28:37, 28:77, 28:81, 28:83, 29:37,   29:64, 33:27, 33:29, 35:35, 38:46, 40:39, 40:52, 41:28, 59:2, 59:8, 59:9,   60:8, 60:9da'irah   n.f. (pl. dawa'ir) 5:52,   9:98, 9:98, 48:6dayyar   n.m. 71:26adara vb.   (4) impf. act. 2:282Lane's   Lexicon, Volume 3, pages:    96,   97,   98"
Dal-Ya-Nun   ," obedience/submissiveness, servility, religion, high/elevated/noble/glorious   rank/condition/state, took/receive a loan or borrowed upon credit, become   indebted, in debt, under the obligation of a debt, contract a debt,   repay/reimburse a loan, rule/govern/manage it, possess/own it, become   habituated/accustomed to something, confirmation, death (because it is a debt   everyone must pay), a particular law/statute, system, custom/habit/business, a   way/course/manner of conduct/acting, repayment/compensation.dana vb.   (I)  impf. act. 9:29  pcple. pass. 37:53,   56:86dayn n.m.   2:282, 4:11, 4:12, 4:12, 4:12din n.m.   1:4, 2:132, 2:193, 2:217, 2:217, 2:256, 3:19, 3:24, 3:73, 3:83, 3:85, 4:46,   4:125, 4:146, 4:171, 5:3, 5:3, 5:3, 5:54, 5:57, 5:77, 6:70, 6:137, 6:159,   6:161, 7:29, 7:51, 8:39, 8:49, 8:72, 9:11, 9:12, 9:29, 9:33, 9:33, 9:36,   9:122, 10:22, 10:104, 10:105, 12:40, 12:76, 15:35, 16:52, 22:78, 24:2, 24:25,   24:55, 26:82, 29:65, 30:30, 30:30, 30:32, 30:43, 31:32, 33:5, 37:20, 38:78,   39:2, 39:3, 39:11, 39:14, 40:14, 40:26, 40:65, 42:13, 42:13, 42:21, 48:28,   48:28, 49:16, 51:6, 51:12, 56:56, 60:8, 60:9, 61:9, 61:9, 70:26, 74:46, 82:9,   82:15, 82:17, 82:18, 83:11, 95:7, 98:5, 98:5, 107:1, 109:6, 109:6, 110:2,tadayana   vb. (VI) perf. act. 2:282Lane's   Lexicon, Volume 3, pages:    108,   109,   110,   111,   112"
Dal-hamza-Ba   ," to strive/exert/labour/toil, diligent, zealous, become wearied/fatigued,   held on / continue, urge, to drive out/away, hunt, to pawn, to persevere, to   persist, to last, to hold out.  A custom/habit/manner/wont, an affair/business/concern, deed/work/condition.  [3:11,   8:52, 8:54, 40:31, 12:47,   dual -   14:33]Lane's   Lexicon, Volume 3, pages:  5,6"
