Root,Meanings
Qaf-Dal-Miim ," to precede, come forward, head a people. qadima - to come, return, come back from, turn, advance, set upon, betake one's self. qadamun - merit, rank, precedence, human foot, footing, foundation, example, strength. qadama sidqin - advancement, going forward in excellence, footing of firmness, strong and honourable footing, true rank, precedence of truthfulness. qadim - old, ancient. aqdamuna - forefathers. qaddama (vb. 2) - to bring upon, prefer, send before, prepare beforehand. taqaddama (vb. 5) - to advance, proceed, go forward, be previously (done or said), bring upon, send before, put forward (a threat), (threaten) beforehand, obtrude (opinion), be promoted, proposed, surpass, outstrip any one. istaqdama - to desire to advance, wish to anticipate, advance boldly. mustaqdimun - one who goes forward or desires to advance, who goes ahead, who lived before, foremost.qadima vb. (1)perf. act. 25:23impf. act. 11:98qadam n.f. (pl. aqdam) 2:250, 3:147, 8:11, 10:2, 16:94, 41:29, 47:7, 55:41qadim n.m. 12:95, 26:76, 36:39, 46:11qaddama vb. (2)perf. act. 2:95, 3:182, 4:62, 5:80, 8:51, 12:48, 18:57, 22:10, 28:47, 30:36, 36:12, 38:60, 38:61, 42:48, 50:28, 59:18, 62:7, 75:13, 78:40, 82:5, 89:24impf. act. 2:110, 49:1, 58:13, 73:20impv. 2:223, 58:12taqaddama vb. (5)perf. act. 48:2impf. act. 74:37istaqdama vb. (10)impf. act. 7:34, 10:49, 16:61, 34:30pcple. act. 15:24LL, V8, p:239,240"
Qaf-Dal-Ra ," to measure/decree/determine/stint/straiten, to have power, to be able, a measure, means, ability, a term/decree, doom, destiny, measured, decreed.qudrun - knowledge, law, value, power, measure, majesty, ability, glory, honour, standard, limit, destiny. taqdir - knowledge, law, measuring decree, judgement, ordering. maqduran - made absolute, executed. miqdar - due measurement, definite quantity. qidr (pl. qudurun) - cooking pot. qaddara - to make possible, prepare, devise, lay plan, facilitate. muqtadir - powerful, able to prevail.qada/ira vb. (1)perf. act. 6:91, 22:74, 39:67, 77:23, 89:16impf. act. 2:264, 5:34, 13:26, 14:18, 16:75, 16:76, 17:30, 21:87, 28:82, 29:62, 30:37, 34:36, 34:39, 39:52, 42:12, 48:21, 57:29, 90:5perf. pass. 54:12, 65:7n.vb. (1) 2:236, 2:236, 13:17, 15:21, 20:40, 23:18, 33:38, 42:27, 43:11, 54:49, 77:22n.vb. (2) 6:91, 22:74, 39:67, 65:3, 97:1, 97:2, 97:3pcple. act. 6:37, 6:65, 10:24, 17:99, 23:18, 23:95, 36:81, 46:33, 68:25, 70:40, 75:4, 75:40, 77:23, 86:8pcple. pass. 33:38miqdar n.m. 13:8, 32:5, 70:4qadir n.m. 2:20, 2:106, 2:109, 2:148, 2:259, 2:284, 3:26, 3:29, 3:165, 3:189, 4:133, 4:149, 5:17, 5:19, 5:40, 5:120, 6:17, 8:41, 9:39, 11:4, 16:70, 16:77, 22:6, 22:39, 24:45, 25:54, 29:20, 30:50, 30:54, 33:27, 35:1, 35:44, 41:39, 42:9, 42:29, 42:50, 46:33, 48:21, 57:2, 59:6, 60:7, 64:1, 65:12, 66:8, 67:1qudur n.com. (pl. of qidr) 34:13qaddara vb. (2)perf. act. 10:5, 15:60, 25:2, 27:57, 34:18, 36:39, 41:10, 56:60, 74:18, 74:19, 74:20, 76:16, 80:19, 87:3impf. act. 73:20impv. 34:11n.vb. 6:96, 25:2, 36:38, 41:12, 76:16iqtadara vb. (8) pcple. act. 18:45, 43:42, 54:42, 54:55LL, V7, p: 22, 23, 24"
Qaf-Dal-Siin  ," to be pure, holy, spotless. qudusun - purity, sanctity, holiness. al quddus - the holy one, one above and opposite to all evil, replete with positive good. muqaddas - sacred. An earthen or wooden pot.quddus n.m. 59:23, 62:1qudus n.m. 2:87, 2:253, 5:110, 16:102qaddasa vb. (2)impf. act. 2:30pcple. pass. f. 5:21, 20:12, 79:16LL, V7, p: 24, 25 (V8: 239)"
Qaf-Dal-Waw ," to draw near, be agreeable and palatable in taste and smell. iqtada (vb. 8) - to imitate, copy, follow agreeably.iqtada vb. (8)m. sing.impv. 6:90m. pl.pcple. act. 43:23LL, V8, p:240"
Qaf-Dhal-Fa ," to pelt, cast, inspire, hurt, do away, throw, plunge, charge anyone with (foul and evil actions), shoot, dart.qadhafa vb. (1)perf. act. 20:87, 33:26, 59:2impf. act. 21:18, 34:48, 34:53impv. 20:39, 20:39impf. pass. 37:8LL, V8, p:240"
Qaf-Dad-Ba ," to cut off, strike with a rod, qadban - vegetable, edible plants.qadaba vb. (1) n.vb. acc. 80:28LL, V7, p: 65, 66, 67"
Qaf-Dad-Dad ," to bore/pierce, fall/tumble down. inqadda (vb. 7) to threaten to fall down.inqadda vb. (7) impf. act. acc. assim. 18:77LL, V7, p: 64, 65"
Qaf-Dad-Ya   ," to finish entirely by word/deed, decreed/ordained/pronounced/decide judicially,   pass a sentence, create, bring to an end, attained/obtained/accomplished/satisfied, execute, settle, discharge, to make known, reveal.qada vb. (1)perf. act. 2:117, 2:200, 3:47, 4:65, 4:103, 6:2, 12:68, 15:66, 17:4, 17:23, 19:35, 28:15, 28:28, 28:29, 28:44, 33:23, 33:36, 33:37, 33:37, 34:14, 39:42, 40:68, 41:12impf. act. 8:42, 8:44, 10:93, 20:72, 22:29, 27:78, 40:20, 40:20, 43:77, 45:17, 80:23impv. 10:71, 20:72perf. pass. 2:210, 6:8, 6:58, 10:11, 10:19, 10:47, 10:54, 11:44, 11:110, 12:41, 14:22, 19:39, 39:69, 39:75, 40:78, 41:45, 42:14, 42:21, 46:29, 62:10impf. pass. 6:60, 20:114, 35:36pcple. act. 20:72pcple. pass. 19:21, 19:71qadiyah n.f. 69:27LL, V8, p:243"
Qaf-Fa-Lam ," to preserve, store up. qaffala - to lock up. qufl - lock/bolt.aqfal n.m. (pl. of qufl) 47:24LL, V8, p:245"
Qaf-Fa-Waw/Ya ," to go after, to pursue, walk behind, follow in the track of, follow the footsteps of, to cause to follow or succeed.qafa vb. (1) impf. act. 17:36qaffa vb. (2) 2:87, 5:46, 57:27, 57:27LL, V8, p:245,246"
Qaf-ha-Ra ," to oppress, compel against one's wishes, subdue, overcome, become superior in power or force, overbear, get mastery over, constrain, treat harshly, thwart. qahir - master, victorious, one who subdues.qahara vb. (1)impf. act. 93:9pcple. act. 6:18, 6:61, 7:127qahhar n.m. 12:39, 13:16, 14:48, 38:65, 39:4, 40:16LL, V7, p: 97, 98"
Qaf-Ha-Miim," to rush, enter, undertake, attempt (the uphill path), make haste, try, plunge, invade, jump, impel, embark boldly.iqtahama vb. (8)3rd. m. sing.perf. act. 90:11m. sing.pcple. act. 38:59LL, V8, p: 239"
Qaf-Lam-Ayn ," to remove, extract, abate, pluck, snatch of, drive away, dismiss, take off, swallow, cease, wrap, collect, refrain, withdraw, abandon, leave off. aqla'a (vb. 4) - to abate and stop, have no trace. aqla'a vb. (4) f. sing. impv. 11:44LL, V8, p:246"
Qaf-Lam-Ba ,"  To turn, return, repentance and grief, turn a thing upside down, change, change direction, turn it   about to it's face and back, turn inside out, change condition.qalb "
Qaf-Lam-Dal ," twisted/wound/wreathed   a thing, rope, necklace, garland, collar, bracelet, to hang up (e.g. sword on belt),   piece of skin, sandal.  Irrigated, irrigated land.  Lane's Lexicon on 5:2 - prefects or the like with offices of administration,   permanent badge (of favour), authority, mode of order-giving, impose upon a   thing.  Management.  Drown, to seize, close upon, cover.  Key, phrase: ""I threw to him the keys of the affairs"" meaning ""I   committed to him disposal/management of the affairs"", treasure, repository/store-room/treasury/magazine,   the place of the suspended thing (e.g. neck, belt), a chief upon whom are imposed   the affairs of the people.qalaid n. .f (pl.   of qiladah) - 5:2, 5:97 maqalid n. m. (pl. of miqlad) - 39:63, 42:12LL, V7, p: 85, 86"
Qaf-Lam-Lam ," to be few in number, small in quantity, rare. qalilun - few, little, small, rare, seldom. aqall - fewer, poorer. qallala - to appear as few.qalla vb. (1) perf. act. 4:7qalil n.m. 2:41, 2:79, 2:83, 2:88, 2:126, 2:174, 2:246, 2:249, 2:249, 3:77, 3:187, 3:197, 3:199, 4:46, 4:66, 4:77, 4:83, 4:142, 4:155, 5:13, 5:44, 7:3, 7:10, 7:86, 8:26, 8:43, 8:44, 9:9, 9:38, 9:82, 11:40, 11:116, 12:47, 12:48, 16:95, 16:117, 17:52, 17:62, 17:74, 17:76, 17:85, 18:22, 18:39, 23:40, 23:78, 23:114, 26:54, 27:62, 28:58, 31:24, 32:9, 33:16, 33:18, 33:20, 33:60, 34:13, 34:16, 38:24, 39:8, 40:58, 44:15, 48:15, 51:17, 53:34, 56:14, 67:23, 69:41, 69:42, 72:24, 73:2, 73:3, 73:11, 77:46qallala vb. (2) impf. act. 8:44aqalla vb. (4) perf. act. 7:57LL, V8, p:246"
Qaf-Lam-Miim ," to cut, pierce. qalam - pen, headless arrow used in casting lots.qalam n.m. (pl. aqlam) 3:44, 31:27, 68:1, 96:4LL, V8, p:247"
Qaf-Lam-Ya ,"to hate, detest, abhor, dislike, forsake.qala vb. (1)perf. act. 93:3pcple. act. 26:168LL, V8, p:247"
Qaf-Miim-Ayn ," to beat on the head, subdue, tame, goad (an elephant) on the head, persecute, overpower, apply a mace or whip or grips, curb, restrain, hold in subjection, bring to submission. miqma'ah - mace, red whip.maqami n.f. (pl. of miqma'ah) 22:21LL, V8, p:247"
Qaf-Miim-Ha ," to raise the head and refuse to drink (a camel). muqmahun (vb. 4) - one whose head is forced up so that he cannot see, stiff-necked, proud.aqmaha vb. (4) m. pl. pcple. pass. 36:8LL, V7, p: 88, 89, 90"
Qaf-Miim-Lam," to swarm with lice or vermin. qummalun - lice, tick, small ants, red-winged insects.qummal n.m. pl. 7:133LL, V8, p:247"
Qaf-Miim-Ra ," to be white. qamarun - moon (especially from the 3rd to 26th night).qamar 6:77, 96, 7:54, 10:5, 12:4, 13:2, 14:33, 16:12, 21:33, 22:18, 25:61, 29:61, 31:29, 35:13, 36:39, 36:40, 39:5, 41:37, 41:37, 54:1, 55:5, 71:16, 74:32, 75:8, 75:9, 84:18, 91:2LL, V7, p: 90, 91"
Qaf-Miim-Sad," to canter or bound. qamis - long shirt.qamis n.m. 12:18, 12:25, 12:26, 12:27, 12:28, 12:93LL, V7, p: 91, 92"
Qaf-Miim-Tay-Ra ," to frown, scorn, knit the brow, show displeasure or distress.qamtarir n.m. acc. 76:10LL, V7, p: 93"
Qaf-Nun-Ayn ," to be content, satisfied with what is within one's approach, not looking for more, beg with some reservation, beseech earnestly. qani'un (pl. qunna'un) - one who is deserving charity but does not beg, content. muqni'un (vb. 4) - one who lifts up the head. aqna'a - to raise (the head), outstretched neck.qana'a vb. (1) m. sing. pcple. act. 22:36aqna'a vb. (4) m. pl. pcple. act. 14:43LL, V8, p:247"
Qaf-Nun-Ta ," to be devout, obedient, fully and wholeheartedly in all humility to stand long in prayer. qanitun - one who is fully, wholehearted and in all humility devout and obedient.qanata vb. (1)impf. act. 33:31impv. 3:43pcple. act. 2:116, 2:238, 3:17, 4:34, 16:120, 30:26, 33:35, 33:35, 39:9, 66:5, 66:12LL, V7, p: 94, 95"
Qaf-Nun-Tay ," to despair, lose courage, hinder, abandon hope.qanata vb. (1)perf. act. 42:28impf. act. 15:56, 30:36, 39:53pcple. act. 15:55qanut n.m. (adj.) 41:49LL, V7, p: 96"
Qaf-Nun-Tay-Ra ," to have a heap of wealth, have a large sum of money, have treasures, have talent. qintar - heap of wealth/treasure/talent, ancient unit of money and weight.qantara vb. (quad 1) pcple. pass. f. 3:14 (muqantara)qintar (pl. qanatir) n.m. 3:14, 3:75, 4:20LL, V7, p: 96, 97"
Qaf-Nun-Waw ," to get, acquire, appropriate a thing, create. qinwan - bunches or clusters of dates.qinwan n.m. (pl. of qina) 6:99LL, V8, p: 248"
Qaf-Nun-Ya ," to acquire a thing, bring into his possession and not to depart from his hand. aqna (vb. 4) - to cause to acquire, make contended, satisfy, preserve, make satisfy with a given thing.aqna vb. (4) perf. act. 53:48LL, V8, p:248"
Qaf-Ra-Alif   ," to recite/read, compilation, collection, reading, recitation, explanation, study, investigation.qara'a vb. (I): perf. act. 16:98, 17:45, 26:199, 75:18yaqra'u - impf. act. 10:94, 17:71, 17:93, 17:106iqra - impv. 17:14, 69:19, 73:20, 73:20, 96:1, 96:3quri'a - perf. pass. 7:204, 84:21qur'an - n.m. 2:185, 4:82, 5:101, 6:19, 7:204, 9:111, 10:15, 10:37, 10:61, 12:2, 12:3, 12:31, 15:1, 15:87, 15:91, 16:98, 17:9, 17:41, 17:45, 17:46, 17:60, 17:78, 17:78, 17:82, 17:88, 17:89, 17:106, 18:54, 20:2, 20:113, 20:114, 25:30, 25:32, 27:1, 27:6, 27:76, 27:92, 28:85, 30:58, 34:31, 36:2, 36:69, 38:1, 39:27, 39:28, 41:3, 41:26, 41:44, 42:7, 43:3, 43:31, 46:29, 47:24, 50:1, 50:45, 54:17, 54:22, 54:32, 54:40, 55:2, 56:77, 59:21, 72:1, 73:4, 73:20, 75:17, 75:18, 76:23, 84:21, 85:21quru n.m. - 2:228aqra'a vb. (IV) - 87:6 (to cause to read/recite)LL, V7, p: 30, 31, 32"
Qaf-Ra-Ayn ," to knock, strike, beat, hit the butt, gnash (the teeth), strike with severity. qari'atun - great calamity that destroys a nation, adversity that comes suddenly, a name of the day of resurrection, great abuse.qari'ah n.f. act. sing. 13:31, 69:4, 101:1, 101:2, 101:3LL, V8, p:241"
Qaf-Ra-Ba ," to be near to, approach, offer, be near in relationship or rank, be at hand, draw near. qurbatun - proximity, means of drawing nigh, kindred, relationship. qurubatan (pl. qurubatun) - pious works and good deeds which draw people nigh to Allah, means by which an approach is sought. qaribun - night, near at hand (either in time or place). min qaribin - soon after. qurba - affinity, relationship. qurban - sacrifice, offer made for God, means of access to God. aqrabu - closer, closest. aqrabun - kinsfolk, kindred, those most nearly related. qarrab (vb. 2) - to set before, cause to draw nigh, make an offering, offer (sacrifice). muqarrabun (pl. maqarrabuna) - one who is made or permitted to approach, who is brought nigh.qariba vb. (I) - impf. act. 2:35, 2:187, 2:222, 4:43, 6:151, 6:152, 7:19, 9:28, 12:60, 17:32, 17:34aqrabun n.m. (pl) - 2:180, 2:215, 4:7, 4:7, 4:33, 4:135, 26:214maqrabah n.f. - 90:15qarib n.m. (adj. comp. aqrab) - 2:186, 2:214, 2:237, 3:167, 4:11, 4:17, 4:77, 5:8, 5:82, 7:56, 9:42, 11:61, 11:64, 11:81, 13:31, 14:44, 16:77, 17:51, 17:57, 18:24, 18:81, 21:109, 22:13, 33:63, 34:50, 34:51, 42:17, 48:18, 48:27, 50:16, 50:41, 56:85, 59:15, 61:13, 63:10, 70:7, 72:25, 78:40qurba n.f. - 2:83, 2:177, 4:8, 4:36, 4:36, 5:106, 6:152, 8:41, 9:113, 16:90, 17:26, 24:22, 30:38, 35:18, 42:23, 59:7qurbah n.f. (pl. qurubat) - 9:99, 9:99qurban n.m. - 3:183, 5:27, 46:28qarraba vb. (II) - perf. act. 5:27, 19:52, 51:27, impf. act. 34:37, 39:3, pcple. pass. 3:45, 4:172, 7:114, 26:42, 56:11, 56:88, 83:21, 83:28iqtaraba vb. (VIII) - perf. act. 7:185, 21:1, 21:97, 54:1, impv. 96:19LL, V7, p: 32, 33, 34, 35, 36, 37"
Qaf-Ra-Dal ," to cling to the ground, lie in dust, become abject or mean. qiradatan - apes, monkeys.qiradah n.m. (pl. of qird) 2:65, 5:60, 7:166LL, V7, p: 40, 41"
Qaf-Ra-Dad ," to cut, turn away from, severe, do good deed.qarada vb. (1)impf. pass. 18:17n.vb. 2:245, 5:12, 57:11, 57:18, 64:17, 73:20aqrada vb. (4)perf. act. 5:12, 57:18impf. act. 2:245, 57:11, 64:17impv. 73:20LL, V7, p: 43, 44"
Qaf-Ra-Fa ," to earn, peel (the bark or skin), commit, perform (a crime, foolish act), acquire, gain, learn, fabricate, mix truth with falsehood, transgress.  iqtarafa vb. (8)perf. act. 9:24impf. act. 6:113, 6:120, 42:23pcple. act. 6:113LL, V8, p:241"
Qaf-Ra-Ha ," to wound/hurt, blow, sore, outer injury.qaraha vb. (1) n.vb. 3:140, 3:140, 3:172LL, V7, p: 37, 38, 39, 40"
Qaf-Ra-Nun ," to join one thing with another, couple. qarnin/qarnan - generation, century. qarn (dual qarnani, oblique qaraini, plu. qurun) - horn, trumpet. Often used to symbolise strength/power/glory. qarunun (pl. qurana) - mate, comrade, intimate companion. muqarranin - bound together. muqrinina - capable of subduing. muqtarinin - those formed in serried ranks, accompanying ones.Dzu al Qarnain (Zulqarnain/dhul-qarnayn) - the two horned one, one belonging to two century, or two generation, master of two states/kingdoms. The surname of Cyrus (Darius 1) the ruler of Media and Persia which were combined into a single kingdom under him.Qarun (Korah) - he was fabulously rich and stood high in favour of Pharaohs.qarn n.m. (pl. qurun) 6:6, 6:6, 10:13, 11:116, 17:17, 19:74, 19:98, 20:51, 20:128, 23:31, 23:42, 25:38, 28:43, 28:45, 28:78, 32:26, 36:31, 38:3, 46:17, 50:36dhul-qarnayn n. 18:83, 18:86, 18:94qarin n.m. (pl. qorana) 4:38, 4:38, 37:51, 41:25, 43:36, 43:38, 50:23, 50:27qarun n. 28:76, 28:79, 29:39, 40:24qarrana vb. (2) pcple. pass. 14:49, 25:13, 38:38aqrana vb. (4) pcple. act. 43:13iqtarana vb. (8) pcple. act. 43:53LL, V8, p:241,242"
Qaf-Ra-Ra ," to be or become cool, remain quiet, be steadfast, be firm, refresh, be stable, be firm, receive satisfy, affirm, agree, settle, last. qarar - stability, a fixed or secure place, depository, place ahead. qurratun - coolness, delight. aqarra (vb. 4) - to confirm, cause to rest or remain. istaqarra (vb. 10) - to remain firm. mustaqirrun - that which remains firmly fixed or confirmed, in hiding, is lasting, which certainly comes to pass, which is settled in its being/goal/purpose. mustaqar - firmly fixed/established, sojourn, abode. qurratun - coolness, refreshment, source of joy and comfort. qawarir (pl. of qaruratun) - glasses, crystals.qarra vb. (1)impf. act. 20:40, 28:13, 33:51impv. 9:26, 33:33n.vb. 14:26, 14:29, 23:13, 23:50, 27:61, 38:60, 40:39, 40:64, 77:21mustaqarr n.m. 2:36, 6:67, 6:98, 7:24, 11:6, 25:24, 25:66, 25:76, 36:38, 75:12qawarir n.f. (pl. of qarurah) 27:44, 76:15, 76:16qurrah n.f. 25:74, 28:9, 32:17aqarra vb. (4)perf. act. 2:84, 3:81, 3:81impf. act. 22:5istaqarra vb. (10)perf. act. 7:143pcple. act. 27:40, 54:3, 54:38LL, V7, p: 27, 28, 29, 30"
Qaf-Ra-Shiin," to cut off, curtail, he gained/earned/acquired and collected (for his family). Big fish, victorious, name of an Arab tribe descended from Abraham of which Muhammad's grandfather was the chief.quraysh n. 106:1LL, V8, p: 240"
Qaf-Ra-Tay-Siin ," to shoot, take aim, hit the mark, perish. qirtas (pl. qaratis) - parchment, what one writes upon, sheet of paper, scroll of paper, writing, book, skin used as target.qirtas n. 6:7, pl. 6:91LL, V7, p: 45, 46"
Qaf-Ra-Ya ," To entertain a guest, that with which a guest is entertained. To collect, run to/into. To explore; investigate; with a much and diligent search, city/town.qaryah n.f. (pl. qura) 2:58, 2:259, 4:75, 6:92, 6:123, 6:131, 7:4, 7:82, 7:88, 7:94, 7:96, 7:97, 7:98, 7:101, 7:161, 7:163, 10:98, 11:100, 11:102, 11:117, 12:82, 12:109, 15:4, 16:112, 17:16, 17:58, 18:59, 18:77, 21:6, 21:11, 21:74, 21:95, 22:45, 22:48, 25:40, 25:51, 26:208, 27:34, 27:56, 28:58, 28:59, 28:59, 29:31, 29:34, 34:18, 34:18, 34:34, 36:13, 42:7, 43:23, 43:31, 46:27, 47:13, 47:13, 59:7, 59:14, 65:8LL, V8, p: 242"
Qaf-Siin-Miim ," to divide, dispose, separate, apportion, distribute. qasamun - oath. qismatun - partition, division, dividing, apportionment. maqsumun - divided/distinct. muqassimun (vb. 2) - one who takes oath, who apportions. qasama (vb. 3) - to swear. aqsama (vb. 4) - to swear. taqasama (vb. 6) - to swear one to another. muqtasimun (vb. 8) - who divides. istaqsama (vb. 10) - to draw lots. tastaqsimu - you seek division. qasama vb. (1)perf. act. 43:32impf. act. 43:32pcple. pass. 15:44qasam n.m. 56:76, 89:5qismah n.f. 4:8, 53:22, 54:28qassama vb. (2) pcple. act. 51:4qasama vb. (3) perf .act. 7:21aqsama vb. (4)perf. act. 5:53, 6:109, 7:49, 14:44, 16:38, 24:53, 35:42, 68:17impf. act. 5:106, 5:107, 24:53, 30:55, 56:75, 69:38, 70:40, 75:1, 75:2, 81:15, 84:16, 90:1taqasama vb. (6) impv. 27:49iqtasama vb. (8) pcple. act. 15:90istaqsama vb. (10) impf. act. 5:3LL, V8, p:242"
Qaf-Siin-Ra ," to force any one, compel. qaswarat (pl. qasawiratun) - lion, sturdy, powerful.qaswarat n.m. sing. 74:51LL, V7, p:50"
Qaf-Siin-Siin ," to slander any one, think evil, seek after a thing, pasture cleverly, become a priest, become good herdsman. qissis - savant, Christian, priest, devoted to learning.qissis n.m. pl. 5:82LL, V7, p:49"
Qaf-Siin-Tay ," to swerve from justice, act or deal unjustly/wrongfully. qasuta - to act justly. qist - justice, equity. qasit - one who acts unjustly/unrighteously. aqsatu - more just. aqsata (vb. 4) - to be just. muqsitun - one who observes justice.qasata vb. (1) pcple. act. 72:14, 72:15aqsat n.m. 2:282, 33:5qist n.m. 3:18, 3:21, 4:127, 4:125, 5:8, 5:42, 6:152, 7:29, 10:4, 10:47, 10:54, 11:85, 21:47, 55:9, 57:25aqsata vb. (4)impf. act. 4:3, 60:8impv. 49:9pcple. act. 5:42, 49:9, 60:8LL, V7, p:50,51"
Qaf-Siin-Tay-Siin ," balance/scale.qistas n.m. 17:35, 26:182LL, V7, p:51"
Qaf-Siin-Waw ," to be or become hard, hardness, harder, unyielding, pitiless.qasa vb. (1)perf. act. 2:74, 6:43, 57:16n.vb. 2:74pcple. act. 5:13, 22:53, 39:22"
Qaf-Shiin-Ayn-Ra ," to snipe, shudder, shiver, tremble, become rough.iqsha'arra vb. (quad 4)3rd. f. sing. impf. act. 39:23LL, V7, p:54"
Qaf-Sad-Dal ," to intend, be moderate, steer a middle course, go or proceed straight away, aim at, intend, repair, purpose, act moderately. qasdun - the right way, middle path, right direction, leading the right path, aim, intention, straight and right road, just. qasidun - easy or moderate (journey). muqtasidun - one who keeps to the right and moderate path, who falls between the two extremes or upper limit and lower limit, of good intentions.qasada vb. (1)impv. 31:19n.vb. 16:9pcple. act. 9:42iqtasada vb. (8) pcple. act. 5:66, 31:32, 35:32LL, V7, p: 59, 60"
Qaf-Sad-Fa ," to roar and resound (thunder), rumble. qasifun - heavy gale of wind, hurricane, fierce storm, raging tempest.qasif n.m. act. acc. sing? 17:69LL, V8, p:243"
Qaf-Sad-Miim ," to break in pieces, shatter, demolish utterly, destroy completely.qasama vb. (1) perf. act. 21:11LL, V8, p:243"
Qaf-Sad-Ra ,"   become short, have little or no power, become niggardly, fall short, i.e. not   to reach something, left/relinquish/abstain/desist/cease, took from its length,   clip/shove, restricted/confined/limited, kept within certain bounds or limits,   restrain/withheld, hinder/prevent, contract or draw oneself together, obedient,   last part of day. qasr (pl. qusur) - ample and spacious house, castle, palace.qasara vb. (1)impf. act. 4:101pcple. act. 37:48, 38:52, 55:56pcple. pass. 55:72qasr n.m. (pl. qusur) 7:74, 22:45, 25:10, 77:32qassara vb. (2) pcple. act. 48:27aqsara vb. (4) impf. act. 7:202LL, V7, p: 60, 61, 62, 63, 64"
