Root,Meanings
Siin-Gh-Ba ," to be hungry, suffer from hunger and want. masghabah - starvation/hunger/famine, privation to hunger.masghabah n.f. 90:14LL, V4, p:91"
Siin-ha-Lam ," to be smooth, even, plain level (earth), easy (affair).sahl n.m. (pl. suhul) 7:74LL, V4, p:177,178"
Siin-ha-Miim ,"sahama vb. (3) perf. act. 37:141LL, V4, p:178,179"
Siin-ha-Ra ," to be watchful, spend the night awake, flash by night. sahiratun - surface of the earth, open (e.g. eye, space), awakened, wide land having no growth.sahirah act. sing. n. f. 79:14LL, V4, p:175,176"
Siin-ha-Waw ," to overlook, neglect, be heedless, unmindful, give no heed.saha vb. (1) pcple. act. 51:11, 107:5LL, V4, p:179,180,181"
Siin-Ha-Ba ," to drag, trail, drag along the ground. sahab - cloud.sahaba vb. (1) impf. pass. 40:71, 54:48sahab n.m. (coll) 2:164, 7:57, 13:12, 24:40, 24:43, 27:88, 30:48, 35:9, 52:44LL, V4, p:38"
Siin-Ha-Lam ," to come to the seashore, seacoast, bank of a river.sahil act. n. m. sing. 20:39LL, V4, p:43,44,45"
Siin-Ha-Qaf ," to be distant, far removed (from good), sahiq - far off place, distant and remote place, deep place. sahaqa - to pound/crush, sweep (the earth), wind, wear out, destroy. suhqan - be far away, be cursed. Ishaq - Abraham's son.sahuqa vb. (1) n.vb. 67:11ishaq n.prop. 2:133, 2:136, 2:140, 3:84, 4:163, 6:84, 11:71, 11:71, 12:6, 12:38, 14:39, 19:49, 21:72, 29:27, 37:112, 37:113, 38:45sahiq n.m. (adj) 22:31LL, V4, p:42,43"
Siin-Ha-Ra ," To turn   it/him from his course, way, or manner of being. The turning of a thing from   its proper manner of being to another.  Lane says that ""He (an enchanter) apparently   turned the thing from its proper manner of being, making what was false to appear   in the form of the true, or real; causing the thing to be imagined different   from what it really was.""  To deceive, delude, beguile, or outwit. The producing what is false in the form   of truth. Embellishment by falsification and deceit. A kind of enchantment,   or fascination which captivates the eye and the like. Skillful eloquence [something   which is praiseworthy]. Early in the morning, or the first part of day (the   time of), a little before daybreak, or the false dawn. Whiteness overspreading   blackness. Food marred or spoilt. Having little milk, or large in her udder   but having little milk. To guild, fascinate, bewitch, wheedle, turn anyone from,   enchant, practice sorcery, hoax, deprive of understanding.sahara vb. (1)perf. act. 7:116, 7:132impf. act. 23:89n.vb. 2:102, 5:110, 6:7, 7:116, 10:76, 10:77, 10:81, 11:7, 20:57, 20:58, 20:63, 20:66, 20:71, 20:73, 21:3, 26:35, 26:49, 27:13, 28:36, 28:48, 34:43, 37:15, 43:30, 46:7, 52:15, 54:2, 61:6, 74:24pcple. act. 7:109, 7:112, 7:113, 7:120, 10:2, 10:77, 10:79, 10:80, 20:63, 20:69, 20:69, 20:70, 26:34, 26:38, 26:40, 26:41, 26:46, 38:4, 40:24, 43:49, 51:39, 51:52pcple. pass. 15:15, 17:47, 17:101, 25:8sahar n.m. (pl. ashar) 3:17, 51:18, 54:34sahhar n.m. 26:37sahhara vb. (2) pcple. pass. 26:153, 26:185LL, V4, p:40,41,42"
Siin-Ha-Ta ," to gain what is unlawful, destroy utterly, eradicate, extirpate, make unlawful profit, doing of anything that leads to destruction, devour that is forbidden, gain anything that is prohibited, take bribe. suhtun - thing forbidden, unlawful trade, bribe, that which is foul and of bad repute, anything paltry, mean and inconsiderable.suht n.m. 5:42, 5:62, 5:6320:61LL, V4, p:38,39"
Siin-Jiim-Dal," lowly, humble, submissive, worship, adore, prostrate, make obeisance, lower/bend oneself   down towards the ground, lower the head, to salute/honour/magnify, to pay respect,   to stand up, to look continuedly and tranquily.  MSJD - parts of a man that are the places of SJD, e.g. forehead/nose/hands/knees/feet   etc. Any mode/place/practice in which the act of SJD is done.sajada vb. (1)perf. act. 2:34, 4:102, 7:11, 15:30, 17:61, 18:50, 20:116, 38:73impf. act. 3:113, 7:12, 7:206, 13:15, 15:33, 16:49, 17:61, 22:18, 25:60, 27:24, 27:25, 38:75, 41:37, 55:6, 84:21impv. 2:34, 3:43, 7:11, 17:61, 18:50, 20:116, 22:77, 25:60, 41:37, 53:62, 76:26, 96:19n.vb. 48:29, 50:40, 68:42, 68:43pcple. act. (sajid, pl. sajidun, sujjad, sujud) 2:58, 2:125, 4:154, 7:11, 7:120, 7:161, 9:112, 12:4, 12:100, 15:29, 15:31, 15:32, 15:98, 16:48, 17:107, 19:58, 20:70, 22:26, 25:64, 26:46, 26:219, 32:15, 38:72, 39:9, 48:29masjid n.m. (pl. masajid) 2:114, 2:144, 2:149, 2:150, 2:187, 2:191, 2:196, 2:217, 5:2, 7:29, 7:31, 8:34, 9:7, 9:17, 9:18, 9:19, 9:28, 9:107, 9:108, 17:1, 17:1, 17:7, 18:21, 22:25, 22:40, 48:25, 48:27, 72:18LL, V4, p:31,32"
Siin-Jiim-Lam ," to pour out, spill (liquid), write a paper or a scroll, decide judicially.sijil - written scroll, writing-roll,  deed, writ, judicial record, scribe.sijjil - hardened and petrified clay, stones of clay which had been written or decreed for them that they should be punished therewith, scroll of writing, scribe.sijill n.m. 21:104sijjil n.m. 11:82, 15:74, 105:4LL, V4, p:34,35,36"
Siin-Jiim-Nun ," to imprison/jail, restrain/conceal, register/record, register in which the actions of the wicked are recorded, prison, written book, sahib al-sijn (fellow prisoner), anything hard/vehement/severe/continuous.sajana vb. (1)impf. act. 12:35impf. pass. 12:25, 12:32pcple. pass. 26:29sijjin n.prop. 83:7, 83:8sijn n.m. 12:33, 12:36, 12:39, 12:41, 12:42, 12:100LL, V4, p:36"
Siin-Jiim-Ra ," to fill (oven) with fuel, heat, burn, fill (with water), stock, groan, pour forth, overflow, drain away, swell, unite. masjur - dry, empty, swollen. sajjara - to become dry/empty.sajara vb. (1)3rd. m. plu.impf. pass. 40:72m. sing.pcple. pass. 52:6sajjara vb. (2) 3rd. f. sing. perf. pass. 81:6LL, V4, p:32,33"
Siin-Jiim-Ya ," to be calm/quiet/still, be covered or spread out with darkness.saja vb. (1) 3rd. m. sing. perf. act. 93:2LL, V4, p:36,37"
Siin-Kaf-Ba ," to pour out/forth. maskub - ever flowing, falling from heights.sakaba vb. (1) pcple. pass. m. sing. 56:31LL, V4, p:112,113"
Siin-Kaf-Nun ," to be quiet, rest/repose/dwell/lodge, inhabit, stop/still, subside. Tranquillity, security, mercy, blessing. masakin - poor/destitute/weak/penniless, humble/submissive, one who is in a state of lowliness/humiliation/abasement/submissiveness, one who cannot move to earn his livelihood because of his physical/mental/financial disability. sikkin - knife, as it is cause of making still after slaughtering.sakana vb. (1)perf. act. 6:13, 14:45, 65:6impf. act. 7:189, 10:67, 27:86, 28:72, 28:73, 30:21, 40:61impv. 2:35, 7:19, 7:161, 17:104impf. pass. 28:58n.vb. 6:96, 9:103, 16:80pcple. act. 25:45pcple. pass. 24:29maskan n.m. (pl. masakin) 9:24, 9:72, 14:45, 20:128, 21:13, 27:18, 28:58, 29:38, 32:26, 34:15, 46:25, 61:12maskanah n.f. 2:61, 3:112miskin n.com. (pl. masakin) 2:83, 2:177, 2:184, 2:215, 4:8, 4:36, 5:89, 5:95, 8:41, 9:60, 17:26, 18:79, 24:22, 30:38, 58:4, 59:7, 68:24, 69:34, 74:44, 76:8, 89:18, 90:16, 107:3sakinah n.f. 2:248, 9:26, 9:40, 48:4, 48:18, 48:26sikkin n.com. 12:31askana vb. (4)perf. act. 14:37, 23:18impf. act. 14:14, 42:33impv. 65:6LL, V4, p:116,117,118,119"
Siin-Kaf-Ra ,"   intoxicated, inebriated, drunken, violent/angry, full/still/motionless/calm,   abolish, do away with, be dim, dazzled, rage against, be confused of judgement, bewildered, hindrance, bar, obstacle, obstruction, prevention, brake or stoppage between a person and his understanding and wits and he takes a wrong decision, become silly or blockhead, fail to understand, become cursed in intellect, lose one's wits, dam, to shut or close up, burn/hot, dazzle/cover/confuse, grief, any disturbing element which may distract one's attention or observe one's reason, in a state of mental disequilibrium, one who has no sense as he is in raptures of love/passion/amour, sugar, sweet substance,   very sweet date, sakr - sugar.sakar n.m. 16:67sakrah n.f. 15:72, 50:19sukara n.m. (pl. sakran) 4:43, 22:2, 22:2sakkara vb. (2) perf. pass. 15:15LL, V4, p:114,115,116"
Siin-Kaf-Ta ," to be silent, appeased, abated.sakata vb. (1) 3rd. perf. act. m. sing. 7:154LL, V4, p:113,114"
Siin-Kha-Ra ," to mock/laugh/scoff at, make fun of, ridicule, look down, deride, taunt, jeer.Siin-Kha-Kha-Ra "
Siin-Kha-Tay ," to be displeased/enraged/offendedsakhita vb. (1) perf. act. 5:80impf. act. 9:58n.vb. 3:162askhata vb. (4) perf. act. 47:28LL, V4, p:48,49"
Siin-Lam-Ba ," to snatch away, carry off, deprive.salaba vb. (1) impf. act. 22:73LL, V4, p:122,123,124"
Siin-Lam-Fa ," to be past (event), outgo, proceed, predecessor/ancestor, sent in advance.salafa vb. (1)perf. act. 2:275, 4:22, 4:23, 5:95, 8:38n.vb. 43:56aslafa vb. (4) perf. act. 10:30, 69:24LL, V4, p:131,132,133"
Siin-Lam-Ha ," to arm anyone, arms/weapons.aslihah n.m. (pl. of silah) 4:102, 4:102, 4:102, 4:102LL, V4, p:126,127"
Siin-Lam-Kaf ," to make a way, travel, thread a pathway, cause to go along (a way), embark, insert, penetrate, walk, enter.salaka vb. (1)perf. act. 20:53, 26:200, 39:21, 74:42impf. act. 15:12, 71:20, 72:17, 72:27impv. 16:69, 23:27, 28:32, 69:32LL, V4, p:135,136"
Siin-Lam-Kha ," to flay, pluck off, withdraw, strip off.salakha vb. (1) impf. act. 36:37insalakha vb. (7) perf. act. 7:175, 9:5LL, V4, p:127,128"
Siinn-Lam ," draw forth/out from another thing (e.g. like a hair from dough, sword from sword case), fall out from something, strive to outstrip/come forth/surpass, take/steal secretly, connect one thing with another, extraction, extract, slip, essence.sulalah n.f. 23:12, 32:8tasallala vb. (5) impf. act. 24:63LL, V4, p:119,120,121,122"
Siin-Lam-Miim ," safety/security/freedom/immunity,   to escape, salutation/greeting/peace, deliver/acknowledge, pay in advance, submit,   sincerity, humility, submission/conformance/obedience, resign/quit/relinquish, to be in sound condition, well without blemish, gentle/tender/soft/elegant. Solomon/Sulaiman.salima vb. (1) pcple. act. 68:43salam n.m. 4:90, 4:91, 16:28, 16:87, 39:29salam n.m. 4:94, 5:16, 6:54, 6:127, 7:46, 10:10, 10:25, 11:48, 11:69, 13:24, 14:23, 15:46, 15:52, 16:32, 19:15, 19:33, 19:47, 19:62, 20:47, 21:69, 25:63, 25:75, 27:59, 28:55, 33:44, 36:58, 37:79, 37:109, 37:120, 37:130, 37:181, 39:73, 43:89, 50:34, 51:25, 51:25, 56:26, 56:26, 56:91, 59:23, 97:5salim n.m. (adj) 26:89, 37:84salm n.m. 8:61, 47:35silm n.com. 2:208sulayman n.prop. 2:102, 2:102, 4:163, 6:84, 21:78, 21:79, 21:81, 27:15, 27:16, 27:17, 27:18, 27:30, 27:36, 27:44, 34:12, 38:30, 38:34sullam n.m. 6:35, 52:38sallama vb. (2)perf. act. 2:233, 8:43impf. act. 4:65, 24:27impv. 24:61, 33:56n.vb. 4:65, 33:22, 33:56pcple. pass. f. 2:71, 4:92, 4:92aslama vb. (4)perf. act. 2:112, 2:131, 3:20, 3:20, 3:20, 3:83, 4:125, 5:44, 6:14, 27:44, 37:103, 49:14, 49:17, 72:14impf. act. 6:71, 16:81, 31:22, 40:66, 48:16impv. 2:131, 22:34, 39:54n.vb. 3:19, 3:85, 5:3, 6:125, 9:74, 39:22, 49:17, 61:7pcple. act. 2:128, 2:128, 2:132, 2:133, 2:136, 3:52, 3:64, 3:67, 3:80, 3:84, 3:102, 5:111, 6:163, 7:126, 10:72, 10:84, 10:90, 11:14, 12:101, 15:2, 16:89, 16:102, 21:108, 22:78, 27:31, 27:38, 27:42, 27:81, 27:91, 28:53, 29:46, 30:53, 33:35, 33:35, 39:12, 41:33, 43:69, 46:15, 51:36, 66:5, 68:35, 72:14istaslama vb. (10) pcple. act. 37:26LL, V4, p:136,137,138,139,140,141"
Siin-Lam-Qaf ," to hurt (by words), scold, boil, abuse, glay, lash, assail (tauntingly), smite.salaqa (vb. (1) perf. act. 33:19LL, V4, p:133,134,135"
Siin-Lam-Siin-Lam ," to join/chain one thing to another, connect, fetter with manacle, chain.silsilah n.f. (pl. salasil) 40:71, 69:32, 76:4"
Siin-Lam-Tay   ," prevailed/overcame/predominated, firm/established in superior power/force,   strength, possess power of dominion/sovereignty/rule/authority, sharp/eloquent,   miraclesultan n.com. 3:151, 4:91, 4:144, 4:153, 6:81, 7:33, 7:71, 10:68, 11:96, 12:40, 14:10, 14:11, 14:22, 15:42, 16:99, 16:100, 17:33, 17:65, 17:80, 18:15, 22:71, 23:45, 27:21, 28:35, 30:35, 34:21, 37:30, 37:156, 40:23, 40:35, 40:56, 44:19, 51:38, 52:38, 53:23, 55:33, 69:29sallata vb. (2) perf. act. 4:90impf. act. 59:6LL, V4, p:129,130"
Siin-Lam-Waw ," to be careless about a thing, diverted from, console, be dispelled from (grief). salwatun - comfort, consolation. salwa - quail, honey, consolation, a kind of bird, a symbol of flesh or meat which is given as provision. Whatever renders one content in a case of privation.salwa n.f. 2:57, 7:160, 20:80LL, V4, p:141,142"
